iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
GRC,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
ITA,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MKD,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
ARG,1990,0,1,29,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
AND,1990,0,1,30,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
AUS,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
BEL,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
CHE,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
CHL,1990,0,1,29,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
DEU,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
DNK,1990,3,2,31,Pan-Europe,Cluster 3: Pan-Europe
ESP,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
FRA,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
MAR,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
SWE,1990,3,2,32,Pan-Europe,Cluster 3: Pan-Europe
URY,1990,0,1,29,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ARE,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
BGD,1990,2,6,2,South Asia,Cluster 2: South Asia
BHR,1990,2,3,33,South Asia,Cluster 2: South Asia
EGY,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
ERI,1990,1,0,34,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
ETH,1990,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
IDN,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
JOR,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
KWT,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
LBN,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
LKA,1990,2,6,2,South Asia,Cluster 2: South Asia
NGA,1990,6,4,35,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
NPL,1990,2,6,2,South Asia,Cluster 2: South Asia
PSE,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
QAT,1990,3,3,36,Pan-Europe,Cluster 3: Pan-Europe
SAU,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
SDN,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
SOM,1990,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
SSD,1990,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
SYR,1990,4,3,37,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
THA,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
TUN,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
YEM,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
ARM,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
AUT,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
BGR,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
BOL,1990,0,1,29,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
BRA,1990,1,1,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CRI,1990,1,0,38,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CUB,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CYP,1990,3,2,39,Pan-Europe,Cluster 3: Pan-Europe
CZE,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
DZA,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ECU,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
EST,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
GTM,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
HND,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
HRV,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
HUN,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
IRL,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
IRN,1990,2,6,2,South Asia,Cluster 2: South Asia
ISR,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
JPN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
KOR,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
LAO,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
LTU,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
MEX,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MNE,1990,3,2,40,Pan-Europe,Cluster 3: Pan-Europe
NOR,1990,3,2,41,Pan-Europe,Cluster 3: Pan-Europe
NZL,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
PAN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
POL,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
PRI,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
PRK,1990,1,0,42,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
PRY,1990,0,1,29,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ROU,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
RUS,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
SEN,1990,6,4,43,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
SLV,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
SRB,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
SVK,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
SVN,1990,3,2,44,Pan-Europe,Cluster 3: Pan-Europe
TWN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
UKR,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
AZE,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
GEO,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
KAZ,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
TKM,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
ASM,1990,3,2,45,Pan-Europe,Cluster 3: Pan-Europe
FJI,1990,3,2,46,Pan-Europe,Cluster 3: Pan-Europe
TKL,1990,3,2,47,Pan-Europe,Cluster 3: Pan-Europe
TON,1990,3,2,48,Pan-Europe,Cluster 3: Pan-Europe
WSM,1990,3,2,49,Pan-Europe,Cluster 3: Pan-Europe
ATG,1990,1,0,50,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
BHS,1990,0,1,51,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
BLZ,1990,1,0,52,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
BMU,1990,1,0,53,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
BRB,1990,1,0,54,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
GHA,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
GLP,1990,0,1,55,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GUF,1990,0,1,56,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
LCA,1990,1,0,57,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MTQ,1990,0,1,58,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TCA,1990,0,1,59,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TTO,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VGB,1990,1,0,60,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
BDI,1990,4,0,61,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
BEN,1990,6,4,35,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
BFA,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
BIH,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
BLR,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
BRN,1990,4,3,62,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
BTN,1990,2,6,63,South Asia,Cluster 2: South Asia
BWA,1990,1,0,64,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CAF,1990,4,3,65,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
CMR,1990,6,4,66,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
COK,1990,3,2,67,Pan-Europe,Cluster 3: Pan-Europe
CYM,1990,1,0,68,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
DJI,1990,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
FIN,1990,3,2,32,Pan-Europe,Cluster 3: Pan-Europe
FLK,1990,1,0,69,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
GAB,1990,6,4,70,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
GIB,1990,0,1,71,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GMB,1990,6,4,72,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
GUM,1990,4,3,73,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
HKG,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
IMN,1990,1,0,74,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
IRQ,1990,2,6,2,South Asia,Cluster 2: South Asia
ISL,1990,3,2,75,Pan-Europe,Cluster 3: Pan-Europe
KEN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
KGZ,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
KHM,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
KIR,1990,3,2,76,Pan-Europe,Cluster 3: Pan-Europe
LBR,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
LBY,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
LSO,1990,1,0,77,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
LUX,1990,0,1,78,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
LVA,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
MAC,1990,1,0,79,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MCO,1990,0,1,80,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
MDA,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
MDG,1990,0,1,81,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
MDV,1990,2,6,82,South Asia,Cluster 2: South Asia
MLT,1990,3,2,83,Pan-Europe,Cluster 3: Pan-Europe
MMR,1990,2,6,2,South Asia,Cluster 2: South Asia
MNG,1990,5,5,84,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
MUS,1990,0,1,85,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
MWI,1990,1,0,86,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MYS,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
NCL,1990,0,1,87,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
NIU,1990,3,2,88,Pan-Europe,Cluster 3: Pan-Europe
NRU,1990,3,2,89,Pan-Europe,Cluster 3: Pan-Europe
OMN,1990,2,6,90,South Asia,Cluster 2: South Asia
PNG,1990,3,2,91,Pan-Europe,Cluster 3: Pan-Europe
PYF,1990,0,1,92,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
REU,1990,0,1,93,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
SGP,1990,4,3,94,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
SLB,1990,3,2,95,Pan-Europe,Cluster 3: Pan-Europe
SLE,1990,6,4,96,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
SWZ,1990,0,1,97,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
SYC,1990,0,1,98,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TGO,1990,6,4,99,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
TUV,1990,3,2,100,Pan-Europe,Cluster 3: Pan-Europe
TZA,1990,1,0,101,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
UGA,1990,4,0,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
VNM,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VUT,1990,0,1,102,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ZWE,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
MRT,1990,6,4,43,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
NER,1990,6,4,103,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
MLI,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
SMR,1990,1,0,104,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
LIE,1990,3,2,105,Pan-Europe,Cluster 3: Pan-Europe
GNB,1990,6,4,106,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
CHI,1990,1,0,107,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VAT,1990,0,1,108,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GNQ,1990,6,4,109,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
COM,1990,0,1,110,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TLS,1990,3,2,111,Pan-Europe,Cluster 3: Pan-Europe
GRL,1990,3,2,112,Pan-Europe,Cluster 3: Pan-Europe
SPM,1990,0,1,113,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
FRO,1990,3,2,114,Pan-Europe,Cluster 3: Pan-Europe
SHN,1990,1,0,115,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
WLF,1990,0,1,116,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ESH,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
FSM,1990,4,3,117,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
MHL,1990,4,3,118,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
MNP,1990,4,3,119,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
PLW,1990,4,3,120,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
MYT,1990,0,1,121,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
BES,1995,6,0,0,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
ABW,1995,6,0,1,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
CHN,1995,1,1,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
COL,1995,6,0,3,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
CUW,1995,6,0,4,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
DMA,1995,6,2,5,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
DOM,1995,6,0,6,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
GRD,1995,6,2,7,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
GUY,1995,6,0,8,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
HTI,1995,6,0,6,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
IND,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
JAM,1995,1,2,9,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
NIC,1995,1,2,10,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
NLD,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
PER,1995,6,0,11,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
PHL,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
PRT,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
SUR,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
SXM,1995,6,0,12,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
TUR,1995,3,3,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
USA,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
VCT,1995,6,2,13,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
VEN,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
PAK,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
AFG,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
TJK,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
UZB,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
CIV,1995,4,5,14,Sub-Saharan Africa,Cluster 4: Sub-Saharan Africa
AGO,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
COD,1995,5,4,15,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
COG,1995,5,4,16,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
CPV,1995,6,0,17,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
GIN,1995,4,5,14,Sub-Saharan Africa,Cluster 4: Sub-Saharan Africa
MOZ,1995,5,4,2,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
NAM,1995,5,4,18,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
RWA,1995,5,4,15,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
STP,1995,6,4,19,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
TCD,1995,4,5,20,Sub-Saharan Africa,Cluster 4: Sub-Saharan Africa
ZAF,1995,5,4,2,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
ZMB,1995,5,4,21,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
CAN,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
AIA,1995,6,2,22,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
GBR,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
KNA,1995,6,0,23,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
MSR,1995,6,2,24,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
VIR,1995,1,2,25,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
ALB,1995,3,3,26,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
GRC,1995,3,3,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
ITA,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
MKD,1995,3,3,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
ARG,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
AND,1995,6,0,27,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
AUS,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
BEL,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
CHE,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
CHL,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
DEU,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
DNK,1995,7,3,28,Pan-Europe,Cluster 7: Pan-Europe
ESP,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
FRA,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
MAR,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
SWE,1995,7,3,29,Pan-Europe,Cluster 7: Pan-Europe
URY,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
ARE,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
BGD,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
BHR,1995,0,7,30,South & Western Asia,Cluster 0: South & Western Asia
EGY,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
ERI,1995,1,3,31,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
ETH,1995,5,4,2,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
IDN,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
JOR,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
KWT,1995,0,1,2,South & Western Asia,Cluster 0: South & Western Asia
LBN,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
LKA,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
NGA,1995,4,5,14,Sub-Saharan Africa,Cluster 4: Sub-Saharan Africa
NPL,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
PSE,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
QAT,1995,3,1,32,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
SAU,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
SDN,1995,5,4,33,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
SOM,1995,5,4,2,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
SSD,1995,5,4,15,Sub-Saharan Africa,Cluster 5: Sub-Saharan Africa
SYR,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
THA,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
TUN,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
YEM,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
ARM,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
AUT,1995,7,3,2,Pan-Europe,Cluster 7: Pan-Europe
BGR,1995,3,3,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
BOL,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
BRA,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
CRI,1995,1,2,34,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
CUB,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
CYP,1995,3,3,35,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
CZE,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
DZA,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
ECU,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
EST,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
GTM,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
HND,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
HRV,1995,7,3,2,Pan-Europe,Cluster 7: Pan-Europe
HUN,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
IRL,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
IRN,1995,0,7,2,South & Western Asia,Cluster 0: South & Western Asia
ISR,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
JPN,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
KOR,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
LAO,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
LTU,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
MEX,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
MNE,1995,7,3,36,Pan-Europe,Cluster 7: Pan-Europe
NOR,1995,7,3,37,Pan-Europe,Cluster 7: Pan-Europe
NZL,1995,3,1,2,Western Asia & Polynesia,Cluster 3: Western Asia & Polynesia
PAN,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
POL,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
PRI,1995,1,2,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
PRK,1995,1,2,38,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
PRY,1995,6,0,2,Latin America & Caribbean,Cluster 6: Latin America & Caribbean
ROU,1995,1,3,2,Latin America & Eastern Asia,Cluster 1: Latin America & Eastern Asia
RUS,1995,2,6,2,Central Asia & Western Asia,Cluster 2: Central Asia & Western Asia
SEN,1995,4,5,39,Sub-Saharan Africa,Cluster 4: Sub-Saharan Africa
