year_start,year_end,jaccard_similarity
1990,1995,0.6913764756228437
1995,2000,0.6788196541680376
2000,2005,0.7930411511478348
2005,2010,0.7085482970943748
2010,2015,0.7382445203375436
2015,2020,0.6477807560350255
2020,2025,0.47484920691869736
