iso3,year,louvain_community,leiden_community,gn_community
BGR,1995,7,2,0
BOL,1995,1,3,13
BRA,1995,1,3,0
CHN,1995,8,0,0
COL,1995,8,1,0
CRI,1995,8,1,0
CUB,1995,8,1,0
CYP,1995,7,2,22
CZE,1995,7,2,0
DOM,1995,8,1,0
DZA,1995,1,3,0
ECU,1995,8,1,0
EST,1995,2,5,0
GTM,1995,8,1,0
HND,1995,8,1,0
HRV,1995,7,2,0
HTI,1995,8,1,0
HUN,1995,7,2,0
IRL,1995,3,0,0
IRN,1995,0,6,0
ISR,1995,2,5,0
JPN,1995,8,1,0
KOR,1995,8,1,0
LAO,1995,8,1,0
LTU,1995,2,5,0
MEX,1995,8,1,0
MNE,1995,7,2,23
NIC,1995,8,1,0
NOR,1995,7,2,24
NZL,1995,3,0,0
PAN,1995,8,1,0
PER,1995,8,1,0
POL,1995,7,2,0
PRK,1995,8,1,25
PRY,1995,1,3,13
ROU,1995,7,2,0
RUS,1995,2,5,0
SEN,1995,6,4,26
SLV,1995,8,1,0
SRB,1995,7,2,0
SVK,1995,7,2,0
SVN,1995,7,2,27
UKR,1995,2,5,0
AZE,1995,2,5,0
GEO,1995,2,5,0
KAZ,1995,2,5,0
TKM,1995,2,5,0
ASM,1995,3,0,28
FJI,1995,3,0,29
TON,1995,3,0,30
VNM,1995,8,1,0
WSM,1995,3,0,31
ATG,1995,8,1,32
BHS,1995,8,1,33
BLZ,1995,8,1,34
BRB,1995,3,0,35
DMA,1995,8,1,36
GHA,1995,6,4,37
GRD,1995,3,0,38
GUY,1995,8,1,0
JAM,1995,8,1,0
KNA,1995,8,1,39
LCA,1995,3,0,40
SUR,1995,3,0,0
TTO,1995,8,1,0
VCT,1995,3,0,41
BDI,1995,5,7,1
BEN,1995,6,4,20
BFA,1995,6,4,42
BIH,1995,7,2,0
BLR,1995,2,5,0
BRN,1995,4,0,43
BTN,1995,0,6,0
BWA,1995,3,0,44
CAF,1995,5,7,45
CMR,1995,6,4,46
DJI,1995,5,7,47
FIN,1995,7,2,16
GAB,1995,6,4,48
GMB,1995,6,4,49
IRQ,1995,0,6,0
KEN,1995,5,7,0
KGZ,1995,2,5,0
KHM,1995,8,1,0
KIR,1995,3,0,50
LBR,1995,6,4,4
LBY,1995,4,8,0
LSO,1995,3,0,51
LUX,1995,1,3,52
LVA,1995,2,5,0
MDA,1995,2,5,0
MDG,1995,1,3,0
MDV,1995,4,0,53
MLT,1995,3,0,54
MNG,1995,2,5,55
MUS,1995,1,3,56
MWI,1995,3,0,57
MYS,1995,4,0,0
OMN,1995,0,6,58
PNG,1995,3,0,59
SLB,1995,3,0,60
SLE,1995,6,4,4
SWZ,1995,3,0,61
TGO,1995,6,4,37
TZA,1995,5,7,62
UGA,1995,5,7,0
VUT,1995,3,0,63
ZWE,1995,3,0,64
MRT,1995,6,4,26
NER,1995,6,4,65
MLI,1995,6,4,42
GNQ,1995,6,4,66
COM,1995,1,3,67
TLS,1995,3,0,68
FSM,1995,8,1,69
MHL,1995,8,1,70
PLW,1995,8,1,71
PAK,2000,6,7,0
AFG,2000,6,7,0
TJK,2000,1,6,1
UZB,2000,1,6,1
COD,2000,2,4,2
AGO,2000,2,4,2
COG,2000,2,4,3
CPV,2000,5,3,4
GIN,2000,3,5,5
MOZ,2000,2,4,6
NAM,2000,2,4,7
PRT,2000,5,3,1
RWA,2000,2,4,2
STP,2000,5,3,8
TCD,2000,5,5,9
ZAF,2000,2,4,0
ZMB,2000,2,4,10
CAN,2000,6,1,0
ALB,2000,7,2,11
GRC,2000,7,2,1
ITA,2000,7,2,1
MKD,2000,7,2,12
TUR,2000,7,2,1
USA,2000,4,0,0
ARG,2000,5,3,0
AND,2000,5,3,13
AUS,2000,6,1,0
BEL,2000,5,3,1
CHE,2000,7,2,1
CHL,2000,5,3,0
DEU,2000,7,2,1
DNK,2000,7,2,14
ESP,2000,5,3,0
FRA,2000,5,3,1
GBR,2000,6,1,0
MAR,2000,5,3,1
NLD,2000,5,1,0
PHL,2000,4,0,0
SWE,2000,7,2,15
URY,2000,5,3,0
ARE,2000,6,7,0
BGD,2000,6,1,0
BHR,2000,6,7,16
EGY,2000,6,7,0
ERI,2000,7,2,17
ETH,2000,0,8,0
IDN,2000,6,1,0
IND,2000,6,7,0
JOR,2000,0,8,0
KWT,2000,6,1,0
LBN,2000,0,8,0
LKA,2000,6,7,0
NGA,2000,3,5,0
NPL,2000,6,7,0
PSE,2000,0,8,0
QAT,2000,6,1,0
SAU,2000,0,8,0
SOM,2000,0,8,0
SYR,2000,0,8,0
THA,2000,4,0,0
TUN,2000,5,3,1
YEM,2000,0,8,0
ARM,2000,1,6,1
AUT,2000,7,2,1
BGR,2000,7,2,1
BOL,2000,5,3,0
BRA,2000,4,3,0
CHN,2000,4,0,0
COL,2000,4,0,0
CRI,2000,4,0,0
CUB,2000,4,0,0
CYP,2000,7,1,18
CZE,2000,7,2,1
DOM,2000,4,0,0
DZA,2000,5,3,1
ECU,2000,4,0,0
EST,2000,1,6,1
GTM,2000,4,0,0
HND,2000,4,0,0
HRV,2000,7,2,1
HTI,2000,4,0,0
HUN,2000,7,2,1
IRL,2000,6,1,0
IRN,2000,6,7,0
ISR,2000,1,6,1
JPN,2000,4,0,0
KOR,2000,4,0,0
LAO,2000,4,0,0
LTU,2000,1,6,1
MEX,2000,4,0,0
MNE,2000,7,2,19
NIC,2000,4,0,0
NOR,2000,7,2,20
NZL,2000,6,1,0
PAN,2000,4,0,0
PER,2000,4,0,0
POL,2000,7,2,1
PRK,2000,4,0,21
PRY,2000,5,3,0
ROU,2000,7,2,1
RUS,2000,1,6,1
SEN,2000,5,5,22
SLV,2000,4,0,0
SRB,2000,7,2,1
SVK,2000,7,2,1
SVN,2000,7,2,23
UKR,2000,1,6,1
AZE,2000,1,6,1
GEO,2000,1,6,1
KAZ,2000,1,6,1
TKM,2000,1,6,1
ASM,2000,6,1,24
FJI,2000,6,1,25
TON,2000,6,1,26
VNM,2000,4,0,0
WSM,2000,6,1,27
ATG,2000,4,0,28
BHS,2000,4,0,29
BLZ,2000,4,0,30
BRB,2000,6,1,31
DMA,2000,4,0,32
GHA,2000,3,5,33
GRD,2000,6,1,34
GUY,2000,4,0,0
JAM,2000,4,0,0
KNA,2000,4,0,35
LCA,2000,6,1,36
SUR,2000,5,1,0
TTO,2000,4,0,0
VCT,2000,6,1,37
BDI,2000,2,4,38
BEN,2000,3,5,0
BFA,2000,3,5,39
BIH,2000,7,2,1
BLR,2000,1,6,1
BRN,2000,6,1,40
BTN,2000,6,7,0
BWA,2000,2,4,41
CAF,2000,2,4,42
CMR,2000,5,5,43
DJI,2000,0,8,44
FIN,2000,7,2,15
GAB,2000,3,5,45
GMB,2000,5,5,46
IRQ,2000,6,7,0
KEN,2000,2,4,0
KGZ,2000,1,6,1
KHM,2000,4,0,0
KIR,2000,6,1,47
LBR,2000,3,5,5
LBY,2000,0,8,0
LSO,2000,2,4,0
LUX,2000,5,3,48
LVA,2000,1,6,1
MDA,2000,1,6,1
MDG,2000,5,3,1
MDV,2000,6,1,49
MLI,2000,3,5,50
MLT,2000,6,1,51
MNG,2000,1,6,52
MUS,2000,5,3,53
MWI,2000,2,4,54
MYS,2000,6,1,0
OMN,2000,6,7,0
PNG,2000,6,1,55
SLB,2000,6,1,56
SLE,2000,3,5,5
SWZ,2000,2,4,57
TGO,2000,3,5,58
TLS,2000,6,1,0
TZA,2000,2,4,2
UGA,2000,2,4,0
VUT,2000,6,1,59
ZWE,2000,2,4,0
MRT,2000,5,5,60
NER,2000,3,5,61
GNQ,2000,3,5,62
COM,2000,5,3,63
FSM,2000,4,0,64
MHL,2000,4,0,65
PLW,2000,4,0,66
PAK,2005,0,0,0
