iso3,year,louvain_community,leiden_community,gn_community
SLB,2015,6,7,51
SLE,2015,7,6,52
SWZ,2015,3,3,53
TGO,2015,7,6,0
TLS,2015,0,4,54
TZA,2015,3,3,55
UGA,2015,3,3,0
VUT,2015,6,7,56
ZWE,2015,3,3,0
MRT,2015,2,2,57
NER,2015,7,6,58
GNQ,2015,7,6,59
COM,2015,2,2,0
FSM,2015,1,0,60
MHL,2015,1,0,61
PLW,2015,1,0,62
PAK,2020,1,3,0
AFG,2020,1,3,0
TJK,2020,2,0,0
UZB,2020,2,0,0
COD,2020,4,4,1
AGO,2020,4,4,1
COG,2020,4,4,2
CPV,2020,4,4,3
GIN,2020,4,7,4
MOZ,2020,4,4,5
NAM,2020,4,4,6
PRT,2020,0,2,0
RWA,2020,4,4,1
STP,2020,0,2,7
TCD,2020,4,4,8
ZAF,2020,4,4,0
ZMB,2020,4,4,9
CAN,2020,1,3,0
ALB,2020,0,2,10
GRC,2020,2,0,0
ITA,2020,2,0,0
MKD,2020,2,0,11
TUR,2020,3,5,0
USA,2020,5,1,0
ARG,2020,0,2,0
AND,2020,0,2,12
BEL,2020,0,2,0
CHL,2020,0,2,0
DEU,2020,2,0,0
ESP,2020,0,2,0
FRA,2020,0,2,0
GBR,2020,1,3,0
MAR,2020,0,2,0
NLD,2020,2,2,0
PHL,2020,5,1,0
URY,2020,0,2,13
ARE,2020,1,3,0
BGD,2020,1,3,0
BHR,2020,1,3,0
EGY,2020,1,3,0
ERI,2020,3,5,14
ETH,2020,3,4,0
IDN,2020,1,3,0
IND,2020,1,3,0
JOR,2020,3,5,0
KWT,2020,1,3,0
LBN,2020,3,5,0
LKA,2020,1,3,0
NGA,2020,4,7,0
NPL,2020,1,3,0
PSE,2020,3,5,0
QAT,2020,1,3,0
SAU,2020,3,5,0
SOM,2020,3,4,0
SYR,2020,3,5,0
THA,2020,5,6,0
TUN,2020,0,2,0
YEM,2020,3,5,0
ARM,2020,2,0,15
AUS,2020,5,6,0
AUT,2020,2,0,0
BGR,2020,3,0,0
BOL,2020,0,2,0
BRA,2020,5,2,0
CHE,2020,2,0,0
CHN,2020,5,1,0
COL,2020,0,1,0
CRI,2020,5,1,0
CUB,2020,5,1,0
CYP,2020,2,0,16
CZE,2020,2,0,0
DNK,2020,3,5,17
DOM,2020,5,1,0
DZA,2020,0,2,0
ECU,2020,0,2,0
EST,2020,2,0,0
GTM,2020,5,1,0
HND,2020,5,1,0
HRV,2020,2,0,0
HTI,2020,5,1,0
HUN,2020,2,0,0
IRL,2020,1,3,0
IRN,2020,1,3,0
ISR,2020,2,0,0
JPN,2020,5,1,0
KOR,2020,5,1,0
LAO,2020,5,6,0
LTU,2020,1,3,0
MEX,2020,5,1,0
MNE,2020,2,0,18
NIC,2020,5,1,0
NOR,2020,3,5,19
NZL,2020,5,6,0
PAN,2020,5,1,0
PER,2020,0,2,0
POL,2020,2,0,0
PRK,2020,5,1,20
PRY,2020,0,2,0
ROU,2020,2,0,0
RUS,2020,2,0,0
SEN,2020,0,2,0
SLV,2020,5,1,0
SRB,2020,2,0,0
SVK,2020,2,0,0
SVN,2020,2,0,21
SWE,2020,3,5,0
UKR,2020,2,0,0
AZE,2020,2,0,0
GEO,2020,2,0,0
IRQ,2020,3,5,0
KAZ,2020,2,0,0
TKM,2020,2,0,0
ASM,2020,5,6,22
FJI,2020,5,6,23
TON,2020,5,6,24
VNM,2020,5,1,0
WSM,2020,5,6,25
ATG,2020,5,1,26
BLZ,2020,5,1,27
BRB,2020,1,3,28
DMA,2020,5,1,29
GHA,2020,4,7,0
GRD,2020,1,3,30
GUY,2020,5,1,0
JAM,2020,5,1,0
KNA,2020,5,2,31
LCA,2020,1,3,32
SUR,2020,2,2,0
TTO,2020,5,1,0
VCT,2020,1,3,33
BDI,2020,4,4,1
BEN,2020,4,7,0
BFA,2020,4,7,34
BHS,2020,5,1,35
BIH,2020,2,0,0
BLR,2020,2,0,0
BRN,2020,1,3,36
BTN,2020,1,3,37
BWA,2020,4,4,38
CAF,2020,4,4,1
CMR,2020,4,4,1
DJI,2020,3,4,39
FIN,2020,3,5,0
GAB,2020,4,7,40
GMB,2020,4,7,41
KEN,2020,3,4,0
KGZ,2020,2,0,0
KHM,2020,5,6,0
KIR,2020,5,6,42
LBR,2020,4,7,43
LBY,2020,3,5,0
LSO,2020,4,4,0
LUX,2020,0,2,44
LVA,2020,2,0,45
MDA,2020,2,0,0
MDG,2020,0,2,0
MDV,2020,1,3,46
MLI,2020,4,7,0
MLT,2020,5,6,47
MNG,2020,2,0,48
MUS,2020,0,2,49
MWI,2020,4,4,50
MYS,2020,1,3,0
OMN,2020,1,3,0
PNG,2020,5,6,51
SLB,2020,5,6,52
SLE,2020,4,7,53
SWZ,2020,4,4,54
TGO,2020,4,7,0
TLS,2020,1,3,55
TZA,2020,4,4,56
UGA,2020,3,4,0
VUT,2020,5,6,57
ZWE,2020,4,4,0
MRT,2020,0,2,58
NER,2020,4,7,59
GNQ,2020,4,7,60
COM,2020,0,2,0
FSM,2020,5,1,61
MHL,2020,5,1,62
PLW,2020,5,1,63
PAK,2025,5,4,0
AFG,2025,0,3,0
TJK,2025,2,5,0
UZB,2025,2,5,0
COD,2025,3,1,1
AGO,2025,3,1,1
COG,2025,3,1,2
CPV,2025,3,1,3
GIN,2025,3,1,4
MOZ,2025,3,1,5
NAM,2025,3,1,6
PRT,2025,1,2,0
RWA,2025,3,1,1
STP,2025,1,2,7
TCD,2025,3,1,8
ZAF,2025,3,1,9
ZMB,2025,3,1,10
CAN,2025,5,4,0
ALB,2025,7,2,11
GRC,2025,0,3,0
ITA,2025,7,2,0
MKD,2025,7,3,12
TUR,2025,0,3,0
USA,2025,6,0,0
ARG,2025,1,2,0
AND,2025,1,2,13
BEL,2025,7,2,0
CHL,2025,1,2,0
DEU,2025,7,3,0
ESP,2025,1,2,0
FRA,2025,7,2,0
GBR,2025,5,4,0
MAR,2025,7,2,0
NLD,2025,7,3,0
PHL,2025,6,0,0
URY,2025,1,2,14
ARE,2025,5,4,0
BGD,2025,5,4,0
BHR,2025,5,4,0
EGY,2025,2,5,0
ERI,2025,0,3,15
ETH,2025,4,6,0
IDN,2025,5,4,0
IND,2025,5,4,0
JOR,2025,2,5,0
KWT,2025,5,4,0
LBN,2025,2,5,0
LKA,2025,5,4,0
NGA,2025,3,1,0
NPL,2025,5,4,0
PSE,2025,2,5,0
QAT,2025,5,4,0
SAU,2025,4,6,0
SOM,2025,4,6,0
SYR,2025,0,3,0
THA,2025,6,0,0
TUN,2025,7,2,0
YEM,2025,4,6,0
ARM,2025,2,5,16
AUS,2025,6,0,0
AUT,2025,7,3,0
BGR,2025,7,3,0
BOL,2025,1,2,0
BRA,2025,1,2,0
CHE,2025,7,3,0
CHN,2025,6,0,0
COL,2025,1,2,0
CRI,2025,1,2,0
CUB,2025,6,0,0
CYP,2025,3,1,17
CZE,2025,7,3,0
DNK,2025,0,3,18
DOM,2025,6,0,0
DZA,2025,7,2,0
ECU,2025,1,2,0
EST,2025,2,5,19
GTM,2025,6,0,0
HND,2025,6,0,0
HRV,2025,7,3,0
HTI,2025,1,2,0
HUN,2025,7,3,0
IRL,2025,5,4,0
IRN,2025,0,3,0
ISR,2025,7,5,0
JPN,2025,6,0,0
KOR,2025,6,0,0
LAO,2025,6,0,0
LTU,2025,5,4,0
MEX,2025,6,0,0
MNE,2025,7,3,20
NIC,2025,1,2,0
NOR,2025,0,3,21
NZL,2025,6,0,0
PAN,2025,6,0,0
PER,2025,1,2,0
POL,2025,7,3,0
PRK,2025,6,0,22
PRY,2025,1,2,0
ROU,2025,7,2,0
RUS,2025,2,5,0
SEN,2025,7,2,0
SLV,2025,6,0,0
SRB,2025,7,3,0
SVK,2025,7,3,0
SVN,2025,7,3,23
SWE,2025,0,3,0
UKR,2025,2,5,0
AZE,2025,2,5,0
GEO,2025,2,5,24
IRQ,2025,0,3,0
KAZ,2025,2,5,0
TKM,2025,0,3,0
ASM,2025,6,0,25
FJI,2025,6,0,26
TON,2025,6,0,27
VNM,2025,6,0,0
WSM,2025,6,0,28
ATG,2025,6,0,29
BLZ,2025,6,0,30
BRB,2025,5,4,31
DMA,2025,6,0,32
GHA,2025,3,1,0
GRD,2025,5,4,33
GUY,2025,6,0,0
JAM,2025,6,0,0
KNA,2025,1,2,34
LCA,2025,5,4,35
SUR,2025,7,3,0
TTO,2025,6,0,0
VCT,2025,5,4,36
BDI,2025,3,1,37
BEN,2025,3,1,0
BFA,2025,3,1,38
BHS,2025,1,2,39
BIH,2025,7,3,0
BLR,2025,2,5,0
BRN,2025,5,4,40
BTN,2025,5,4,41
BWA,2025,3,1,42
CAF,2025,3,1,1
CMR,2025,3,1,1
DJI,2025,4,6,43
FIN,2025,0,3,0
GAB,2025,3,1,44
GMB,2025,3,1,45
KEN,2025,4,6,0
KGZ,2025,2,5,0
KHM,2025,6,0,0
KIR,2025,6,0,46
LBR,2025,3,1,47
LBY,2025,2,5,0
LSO,2025,3,1,9
LUX,2025,7,2,48
LVA,2025,2,5,49
MDA,2025,7,2,0
MDG,2025,7,2,0
MDV,2025,5,4,50
MLI,2025,3,1,0
MLT,2025,5,4,51
MNG,2025,2,0,52
MUS,2025,7,2,53
MWI,2025,3,1,9
MYS,2025,5,4,0
OMN,2025,5,4,0
PNG,2025,6,0,54
SLB,2025,6,0,55
SLE,2025,3,1,56
SWZ,2025,3,1,57
TGO,2025,3,1,0
TLS,2025,5,4,58
TZA,2025,3,1,59
UGA,2025,4,6,0
VUT,2025,6,0,60
ZWE,2025,3,1,9
MRT,2025,7,2,61
NER,2025,3,1,62
GNQ,2025,3,1,63
COM,2025,7,2,0
FSM,2025,6,0,64
MHL,2025,6,0,65
PLW,2025,6,0,66
