origin_iso3,dest_iso3,year,weight,origin_in_degree_centrality,origin_out_degree_centrality,origin_in_strength,origin_out_strength,origin_betweenness_centrality,origin_pagerank,origin_country_name,origin_continent,origin_un_region,origin_income_group,origin_louvain_community,origin_leiden_community,origin_gn_community,origin_dominant_region,origin_community_label,origin_boundary_score,origin_is_boundary_node,origin_gdp_per_capita,origin_population,origin_unemployment,origin_conflict_intensity,origin_education_index,origin_climate_vulnerability,origin_visa_openness_index,dest_in_degree_centrality,dest_out_degree_centrality,dest_in_strength,dest_out_strength,dest_betweenness_centrality,dest_pagerank,dest_country_name,dest_continent,dest_un_region,dest_income_group,dest_louvain_community,dest_leiden_community,dest_gn_community,dest_dominant_region,dest_community_label,dest_boundary_score,dest_is_boundary_node,dest_gdp_per_capita,dest_population,dest_unemployment,dest_conflict_intensity,dest_education_index,dest_climate_vulnerability,dest_visa_openness_index,log_weight,same_continent,same_income_group,same_community
PAK,IND,1990,860500.0,0.0344827586206896,0.3275862068965517,2941941.0,1189760.0,0.0111082810867293,0.0077351419092701,Pakistan,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,344.45547384189,116155576.0,0.596,98.0,2.291861259,0.559,15.0,0.1637931034482758,0.5043103448275862,3425966.0,2570867.0,0.1087785490371697,0.0159489196212209,India,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,0.8571428571428571,True,371.085936203765,864972221.0,7.641,2396.0,2.78157628,0.5537,18.0,13.665270056748104,1,1,1
CHN,HKG,1990,738516.0,0.418103448275862,0.5862068965517241,187067.0,1890424.0,0.0924530713539334,0.0056111021276406,China,Asia,Eastern Asia,Upper middle income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.7142857142857143,True,318.50335359039,1135185000.0,2.37,0.0,4.143789768,0.4157,15.0,0.125,0.1163793103448275,965196.0,261448.0,0.009695290341842,0.005474919726989,Hong Kong,Asia,Eastern Asia,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,13485.6314525052,5704500.0,1.8,0.0,8.675597279,,79.2,13.512399400323018,1,0,1
RUS,UZB,1990,718811.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,0.043103448275862,0.1508620689655172,888974.0,756748.0,0.0,0.0028556603432228,Uzbekistan,Asia,Central Asia,Lower middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,652.9376529256,20464956.0,1.9,0.0,10.0474884,0.3725,17.3,13.485355128243008,0,0,1
DZA,FRA,1990,635652.0,0.0862068965517241,0.2327586206896551,117405.0,690190.0,0.0177819450664278,0.0024740225903216,Algeria,Africa,Northern Africa,Lower middle income,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.8571428571428571,True,2445.18332740258,25375810.0,20.6,0.0,4.614607921,0.4079,16.6,0.2241379310344827,0.5689655172413793,2703486.0,766011.0,0.251947118972981,0.0290799127959436,France,Europe,Western Europe,High income,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.8571428571428571,True,21586.4674617483,58261012.0,9.134,0.0,7.552529812,0.3102,92.2,13.362408095945515,0,0,1
POL,DEU,1990,554578.0,0.2629310344827586,0.3189655172413793,619458.0,1289207.0,0.0453678720704582,0.0042019914622107,Poland,Europe,Eastern Europe,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,1.0,True,1731.2095094382,38110782.0,13.621,0.0,9.670923882,0.3136,76.3,0.1120689655172413,0.5258620689655172,2380955.0,2212649.0,0.3169446932377967,0.0197098294352969,Germany,Europe,Western Europe,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,1.0,True,22385.6778250275,79433029.0,5.316,0.0,10.3637846,0.3107,92.9,13.225964546318892,1,1,1
GBR,AUS,1990,553376.0,0.1379310344827586,0.5905172413793104,1507261.0,2017950.0,0.3448784333482609,0.0393794016492256,United Kingdom,Europe,Northern Europe,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,19095.4669984608,57247586.0,8.55,44.0,9.635440148,0.2742,92.2,0.8318965517241379,0.3922413793103448,1869330.0,129528.0,0.1000832213763248,0.0489409425328164,Australia,Oceania,Australia/NZ,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,0.7142857142857143,True,18273.561526468,17065128.0,9.586,0.0,11.22770758,0.325,86.4,13.22379478421359,0,1,0
MOZ,MWI,1990,548271.0,0.0689655172413793,0.125,52310.0,937419.0,0.0480851619644723,0.0022571854801352,Mozambique,Africa,Sub-Saharan Africa,Low income,0,1,12,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,1.0,True,191.826096861406,13094537.0,2.838,1577.0,1.598693513,0.5196,15.8,0.0517241379310344,0.0646551724137931,562937.0,52855.0,0.0,0.0022349414532703,Malawi,Africa,Sub-Saharan Africa,Low income,1,0,86,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,1.0,True,286.730598968269,9545852.0,4.9,0.0,2.277381717,0.6109,34.6,13.21452679315402,1,1,0
PHL,USA,1990,540544.0,0.0387931034482758,0.3620689655172414,43217.0,1229596.0,0.012782131661442,0.0019116202823282,Philippines,Asia,South-Eastern Asia,Lower middle income,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia,0.8571428571428571,True,803.572588255813,62854666.0,3.727,1316.0,7.178850174,0.5037,23.8,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.20033316884001,0,0,0
CAN,USA,1990,510372.0,0.5517241379310345,0.4827586206896551,2160237.0,631436.0,0.0275424503657262,0.0482745571360445,Canada,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,21525.8611387148,27691138.0,10.316,0.0,10.74998669,0.2881,90.0,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.14289710992696,1,1,1
PRI,USA,1990,482553.0,0.1939655172413793,0.1336206896551724,163820.0,492915.0,0.0289771794297656,0.0177378635491583,Puerto Rico,Americas,Latin America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,8652.50749222505,3537000.0,16.18,0.0,,,,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.086848110597373,1,1,1
