model,dependent,n_predictors,n_obs,r_squared,adj_r2,aic,bic,f_stat,f_p_value
baseline_inflows,log_in_strength,3,1692,0.6877334001947271,0.687178424010239,5522.9660247166885,5544.700690877353,1239.2124552680561,0.0
full_inflows,log_in_strength,7,1408,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,312.1331092327401,1.622795601443415e-280
baseline_outflows,log_out_strength,3,1696,0.7500440970513461,0.7496009128262598,5463.883706716348,5485.6278179817555,1692.3980019942048,0.0
full_outflows,log_out_strength,7,1408,0.6875740133426165,0.6860118834093296,3948.954438817869,3990.9538431116125,440.15161523463945,0.0
