year,n_nodes,n_edges,density,total_migrant_stock,avg_weight,max_weight,n_weakly_connected_components,largest_wcc_size,avg_clustering,avg_shortest_path_length
1990,233,7737,0.14312934734349564,69431123.0,8973.907586919995,2867854.0,1,233,0.6744686491957234,1.7987272458191506
1995,233,7998,0.14795767352375314,73816568.0,9229.378344586146,3176773.0,1,233,0.6907325348251888,1.7840017759360662
2000,233,8127,0.15034408761284593,78088322.0,9608.505229481974,4130098.0,1,233,0.6918259947242916,1.7792289477578807
2005,233,8303,0.15359997040106557,85132749.0,10253.25171624714,4959003.0,1,233,0.6975653315048789,1.771681219476099
2010,233,8500,0.15724433920378866,97781593.0,11503.716823529412,5536043.0,1,233,0.6906256503204069,1.7704232647624685
2015,233,8714,0.16120319668491934,108834494.0,12489.613725040164,5713555.0,1,233,0.6954481079499369,1.7566227615805832
2020,233,8764,0.1621281633861181,120203009.0,13715.541875855773,5415408.0,1,233,0.6988581936967548,1.7607296137339057
2025,233,8548,0.15813230723693947,244997923.7660843,28661.432354478726,47641532.81689333,1,233,0.6895875438567258,1.7682033446795915
