year,algorithm,modularity_q,n_communities,nmi_louvain_leiden,ari_louvain_leiden,nmi_louvain_gn,ari_louvain_gn
1990,louvain,0.5959965492658675,7,0.9202801874913659,0.9182426579925361,0.42808326073015146,0.023031226279596948
1990,leiden,0.10215271523531401,7,0.9202801874913659,0.9182426579925361,0.42808326073015146,0.023031226279596948
1990,girvan_newman,0.10652824627233282,122,0.9202801874913659,0.9182426579925361,0.42808326073015146,0.023031226279596948
1995,louvain,0.5768589499474487,8,0.8463428125842684,0.763007385730067,0.4353657851979541,0.02982797446461307
1995,leiden,0.11291628052098182,8,0.8463428125842684,0.763007385730067,0.4353657851979541,0.02982797446461307
1995,girvan_newman,0.10718439488703899,112,0.8463428125842684,0.763007385730067,0.4353657851979541,0.02982797446461307
2000,louvain,0.5672311926706908,9,0.9121004526873894,0.8602319620413158,0.38495135348236703,-0.027394299188591046
2000,leiden,0.10216575929232151,10,0.9121004526873894,0.8602319620413158,0.38495135348236703,-0.027394299188591046
2000,girvan_newman,0.04151291255074136,106,0.9121004526873894,0.8602319620413158,0.38495135348236703,-0.027394299188591046
2005,louvain,0.5475846256631623,9,0.747579795165585,0.5905879981228515,0.3872635140717967,-0.023324382455683117
2005,leiden,0.09749013535804942,8,0.747579795165585,0.5905879981228515,0.3872635140717967,-0.023324382455683117
2005,girvan_newman,0.032474378270464156,106,0.747579795165585,0.5905879981228515,0.3872635140717967,-0.023324382455683117
2010,louvain,0.5394288066731119,10,0.7430430224795761,0.5597736311445247,0.4455449066661851,0.03507914321917199
2010,leiden,0.08437277727952323,10,0.7430430224795761,0.5597736311445247,0.4455449066661851,0.03507914321917199
2010,girvan_newman,0.11031007668993703,108,0.7430430224795761,0.5597736311445247,0.4455449066661851,0.03507914321917199
2015,louvain,0.5354235516390107,10,0.8416055335542856,0.7165765854858668,0.46348678729029114,0.036016206306262
2015,leiden,0.09956907752074624,8,0.8416055335542856,0.7165765854858668,0.46348678729029114,0.036016206306262
2015,girvan_newman,0.05531197616425122,108,0.8416055335542856,0.7165765854858668,0.46348678729029114,0.036016206306262
2020,louvain,0.5336766136145046,8,0.910533954592976,0.9081665050793561,0.3816098810826427,0.005592743993011348
2020,leiden,0.10469981127912917,8,0.910533954592976,0.9081665050793561,0.3816098810826427,0.005592743993011348
2020,girvan_newman,0.026644131738760374,103,0.910533954592976,0.9081665050793561,0.3816098810826427,0.005592743993011348
2025,louvain,0.589168365824134,7,0.6535339484182063,0.4660740345191715,0.4198263207463287,0.024373568712672454
2025,leiden,0.09787009678199986,6,0.6535339484182063,0.4660740345191715,0.4198263207463287,0.024373568712672454
2025,girvan_newman,0.4584293312774579,139,0.6535339484182063,0.4660740345191715,0.4198263207463287,0.024373568712672454
