origin_iso3,dest_iso3,year,weight
CHN,JPN,1990,68889.0
EGY,KWT,1990,68338.0
NIC,HND,1990,68004.0
PHL,CAN,1990,67629.0
GRC,AUS,1990,67008.0
THA,USA,1990,66885.0
GUY,USA,1990,65999.0
TTO,USA,1990,65081.0
CHN,BGD,1990,64474.0
HTI,DOM,1990,64417.0
RUS,POL,1990,63902.0
EGY,ARE,1990,63062.0
NLD,CAN,1990,62994.0
BLR,KAZ,1990,62366.0
KHM,USA,1990,62314.0
DEU,POL,1990,62058.0
AGO,ZMB,1990,61728.0
LBR,SLE,1990,61373.0
YEM,SAU,1990,61061.0
POL,ISR,1990,60342.0
UZB,TKM,1990,60266.0
SLV,HND,1990,59413.0
DEU,AUS,1990,58475.0
VNM,AUS,1990,58336.0
JAM,CAN,1990,57649.0
URY,ARG,1990,57505.0
VNM,FRA,1990,57298.0
MAR,NLD,1990,56777.0
ESP,USA,1990,56442.0
HND,USA,1990,56335.0
FRA,CHE,1990,56020.0
ISR,PSE,1990,55644.0
GRC,TUR,1990,54626.0
KEN,GBR,1990,54027.0
GEO,ARM,1990,52400.0
VNM,CAN,1990,52205.0
ISR,USA,1990,52157.0
BRA,PRY,1990,51989.0
DEU,AUT,1990,51492.0
SRB,AUT,1990,50921.0
UKR,KGZ,1990,49593.0
GEO,AZE,1990,49344.0
KGZ,KAZ,1990,49113.0
NIC,CRI,1990,49058.0
ROU,USA,1990,48831.0
LVA,RUS,1990,48754.0
JOR,SAU,1990,48694.0
TCD,CMR,1990,48377.0
MAR,ESP,1990,47827.0
BGD,GBR,1990,47375.0
PHL,AUS,1990,47373.0
BIH,AUT,1990,47235.0
SOM,DJI,1990,47098.0
AZE,UKR,1990,46567.0
IRN,DEU,1990,46514.0
HUN,DEU,1990,46502.0
DEU,ESP,1990,46272.0
FRA,DEU,1990,45704.0
BLR,LTU,1990,45489.0
ITA,GBR,1990,45312.0
BRA,USA,1990,45024.0
LKA,SAU,1990,44971.0
NLD,AUS,1990,44849.0
PRT,CHE,1990,44651.0
ESP,DEU,1990,44643.0
NGA,CMR,1990,44537.0
GEO,UKR,1990,43784.0
ARG,USA,1990,43759.0
SEN,MRT,1990,43615.0
MRT,SEN,1990,43087.0
MYS,BGD,1990,42565.0
KAZ,BLR,1990,42432.0
BEN,NGA,1990,42406.0
NLD,BEL,1990,42345.0
LTU,RUS,1990,42214.0
JPN,BRA,1990,42114.0
PAK,SAU,1990,41426.0
UGA,KEN,1990,41264.0
MNE,SRB,1990,41022.0
ZWE,ZAF,1990,40838.0
GRC,CAN,1990,40775.0
DEU,BEL,1990,40528.0
UKR,KAZ,1990,40015.0
PAK,KWT,1990,39954.0
IRQ,ISR,1990,39832.0
AUS,GBR,1990,39495.0
MOZ,PRT,1990,38902.0
CHE,FRA,1990,38715.0
LBN,USA,1990,38106.0
CHN,KAZ,1990,37778.0
PAK,ARE,1990,37685.0
CHN,AUS,1990,37669.0
MYS,AUS,1990,37468.0
PSE,SAU,1990,37078.0
MAR,BEL,1990,36966.0
COD,COG,1990,36580.0
TUR,AUT,1990,36284.0
PHL,JPN,1990,35591.0
CAN,GBR,1990,35176.0
HRV,DEU,1990,35119.0
CZE,AUT,1990,34726.0
USA,DEU,1990,34650.0
GBR,ESP,1990,34391.0
AUT,CHE,1990,34380.0
BLR,LVA,1990,34334.0
CHN,RUS,1990,34329.0
SEN,GMB,1990,34269.0
MDA,ROU,1990,34227.0
GBR,FRA,1990,34140.0
TGO,GHA,1990,34105.0
GUY,CAN,1990,34093.0
ZAF,GBR,1990,34018.0
PAK,USA,1990,33927.0
MDG,FRA,1990,33770.0
RWA,TZA,1990,33591.0
BIH,SVN,1990,33513.0
LKA,ARE,1990,33077.0
GHA,NGA,1990,33066.0
POL,AUS,1990,32917.0
MKD,SRB,1990,32575.0
IDN,BGD,1990,32488.0
FRA,GBR,1990,32249.0
LKA,KWT,1990,32149.0
COD,RWA,1990,31829.0
EST,RUS,1990,31800.0
NOR,SWE,1990,31568.0
POL,GBR,1990,31517.0
LBN,AUS,1990,31219.0
ITA,BRA,1990,31203.0
SYR,SAU,1990,31089.0
TZA,KEN,1990,30682.0
GIN,SLE,1990,30371.0
JOR,PSE,1990,30251.0
FRA,PRT,1990,30176.0
ERI,ETH,1990,29808.0
TUR,CHE,1990,29695.0
MWI,ZWE,1990,29478.0
RUS,AZE,1990,29253.0
EGY,USA,1990,29008.0
TUR,USA,1990,28876.0
CHN,PHL,1990,28828.0
SEN,FRA,1990,28637.0
SLV,CRI,1990,28459.0
USA,ITA,1990,28341.0
THA,MYS,1990,28124.0
IND,OMN,1990,28095.0
KHM,FRA,1990,28002.0
ESP,BRA,1990,27678.0
TZA,UGA,1990,27334.0
LAO,BGD,1990,27012.0
PHL,KWT,1990,26996.0
ARG,ESP,1990,26938.0
HUN,CAN,1990,26938.0
ALB,ITA,1990,26762.0
SRB,AUS,1990,26547.0
ALB,MKD,1990,26242.0
FRA,CAN,1990,26202.0
UKR,GEO,1990,26194.0
IDN,KWT,1990,25973.0
MNG,KAZ,1990,25950.0
KOR,CHN,1990,25947.0
TTO,CAN,1990,25938.0
AUS,NZL,1990,25908.0
MKD,HUN,1990,25576.0
MLT,AUS,1990,25514.0
HRV,AUS,1990,25503.0
ARG,PRY,1990,25381.0
BEL,NLD,1990,25366.0
GBR,ITA,1990,25267.0
GTM,MEX,1990,25204.0
TUR,BEL,1990,25022.0
POL,SWE,1990,24975.0
BDI,UGA,1990,24889.0
PHL,ARE,1990,24847.0
IRL,AUS,1990,24807.0
RUS,ARM,1990,24474.0
IRN,ISR,1990,24460.0
IND,AUS,1990,24176.0
COD,UGA,1990,24002.0
IDN,ARE,1990,23749.0
BGD,OMN,1990,23692.0
MYS,GBR,1990,23685.0
MAR,ITA,1990,23619.0
HRV,SVN,1990,23480.0
LBN,CAN,1990,23352.0
MKD,AUS,1990,23306.0
ZAF,AUS,1990,23301.0
BEL,ITA,1990,23104.0
ETH,LBN,1990,23024.0
COL,ECU,1990,23014.0
NGA,NER,1990,22835.0
GRC,ALB,1990,22823.0
UKR,LVA,1990,22798.0
USA,AUS,1990,22652.0
DZA,ISR,1990,22619.0
KAZ,KGZ,1990,22287.0
BRA,ARG,1990,22262.0
NGA,GBR,1990,22064.0
FRA,POL,1990,22027.0
COD,BEL,1990,22005.0
LSO,ZAF,1990,21921.0
BIH,SWE,1990,21754.0
HTI,CAN,1990,21732.0
LAO,FRA,1990,21700.0
WSM,NZL,1990,21689.0
CYP,GRC,1990,21588.0
NGA,USA,1990,21559.0
ESP,GBR,1990,21558.0
USA,ISR,1990,21525.0
PRT,ESP,1990,21474.0
SRB,HRV,1990,21447.0
MLI,BFA,1990,21430.0
KGZ,UKR,1990,21319.0
NZL,GBR,1990,21245.0
RUS,HUN,1990,21162.0
LKA,AUS,1990,21150.0
ALB,GRC,1990,20993.0
MOZ,ZMB,1990,20764.0
DNK,SWE,1990,20732.0
ESP,BEL,1990,20645.0
NAM,ZAF,1990,20605.0
IDN,AUS,1990,20593.0
LBY,ITA,1990,20587.0
TGO,NGA,1990,20582.0
USA,GRC,1990,20536.0
UKR,LTU,1990,20452.0
DEU,SWE,1990,20449.0
ARG,ITA,1990,20425.0
MOZ,SWZ,1990,20308.0
MAR,DEU,1990,20194.0
GBR,GRC,1990,20108.0
ARM,UKR,1990,20083.0
UKR,EST,1990,20061.0
CHE,ESP,1990,19937.0
TJK,UKR,1990,19923.0
SRB,CHE,1990,19879.0
BLR,UZB,1990,19844.0
BIH,MNE,1990,19543.0
GBR,NLD,1990,19524.0
SVN,HRV,1990,19261.0
KEN,TZA,1990,19211.0
USA,FRA,1990,19162.0
BFA,GHA,1990,18937.0
BRA,JPN,1990,18897.0
IDN,QAT,1990,18767.0
POL,LVA,1990,18693.0
COD,BDI,1990,18691.0
GEO,KAZ,1990,18608.0
MOZ,ZAF,1990,18553.0
VNM,BGD,1990,18440.0
EGY,AUS,1990,18336.0
MYS,BRN,1990,18315.0
BIH,CHE,1990,18299.0
ROU,ITA,1990,18233.0
IRN,SWE,1990,18129.0
SVN,ITA,1990,18116.0
BGR,DEU,1990,18020.0
ZWE,ZMB,1990,17995.0
ZAF,USA,1990,17955.0
TKM,GRC,1990,17934.0
POL,GRC,1990,17916.0
TUN,ISR,1990,17882.0
ESP,URY,1990,17867.0
TKM,UKR,1990,17831.0
FJI,AUS,1990,17780.0
ETH,ISR,1990,17723.0
BLR,KGZ,1990,17721.0
TJK,AFG,1990,17658.0
RUS,LBY,1990,17335.0
BGD,SAU,1990,17270.0
KAZ,UZB,1990,17258.0
YEM,ISR,1990,17209.0
IND,LKA,1990,17182.0
TUR,ISR,1990,17167.0
LKA,GBR,1990,17154.0
TUR,GRC,1990,17140.0
KAZ,TKM,1990,17071.0
HRV,AUT,1990,17038.0
IRQ,USA,1990,17020.0
PSE,DZA,1990,16984.0
BGD,ARE,1990,16842.0
CHN,MYS,1990,16831.0
ZWE,MOZ,1990,16816.0
RUS,CAN,1990,16798.0
DEU,ISR,1990,16615.0
BGD,KWT,1990,16612.0
POL,CZE,1990,16571.0
PER,ARG,1990,16496.0
VNM,RUS,1990,16425.0
UGA,RWA,1990,16424.0
BIH,DEU,1990,16325.0
GEO,GRC,1990,16076.0
UKR,CAN,1990,16023.0
GHA,BFA,1990,16008.0
POL,RUS,1990,15958.0
BLR,ISR,1990,15910.0
GHA,GBR,1990,15892.0
GIN,SEN,1990,15818.0
