model,dependent,predictor,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared,adj_r2,aic,bic,significant_95
baseline_inflows,log_in_strength,const,-5.338019237880151,0.29363638754691573,-18.17901140412058,1.3873208292593338e-67,-5.913948941978808,-4.762089533781494,1692.0,0.6877334001947271,0.687178424010239,5522.9660247166885,5544.700690877353,True
baseline_inflows,log_in_strength,log_population,0.7915170974777674,0.013211221548696079,59.912483835068876,0.0,0.7656049992501367,0.8174291957053982,1692.0,0.6877334001947271,0.687178424010239,5522.9660247166885,5544.700690877353,True
baseline_inflows,log_in_strength,log_gdp_per_capita,0.5312039204733521,0.019247255728372874,27.598943349118116,1.0766818543309602e-138,0.49345292377652117,0.568954917170183,1692.0,0.6877334001947271,0.687178424010239,5522.9660247166885,5544.700690877353,True
baseline_inflows,log_in_strength,conflict_intensity,1.3824658218853183e-05,8.892140426968155e-06,1.5547053414637546,0.12020371958672765,-3.6161223590962444e-06,3.126543879680261e-05,1692.0,0.6877334001947271,0.687178424010239,5522.9660247166885,5544.700690877353,False
full_inflows,log_in_strength,const,-0.5770290324916658,0.7560951299895224,-0.7631698837944664,0.4454906635285889,-2.060230533337027,0.9061724683536956,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,False
full_inflows,log_in_strength,log_population,0.7409273731704835,0.020043335798530647,36.96627051594875,2.6255967925852877e-209,0.7016091649726075,0.7802455813683595,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,True
full_inflows,log_in_strength,log_gdp_per_capita,0.2916267129258896,0.04472268726375091,6.520777948919494,9.741348177109338e-11,0.20389601047796843,0.37935741537381074,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,True
full_inflows,log_in_strength,conflict_intensity,1.5280982254115243e-05,9.128626125293873e-06,1.6739629868041408,0.09436124516699256,-2.6262776033575495e-06,3.3188242111588036e-05,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,False
full_inflows,log_in_strength,unemployment,-0.00025434664294877833,0.0057934286935024705,-0.04390261042377838,0.9649882951679698,-0.011619083423309366,0.011110390137411809,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,False
full_inflows,log_in_strength,education_index,-0.008677439495209452,0.011106623409221604,-0.7812851102887625,0.4347669200914672,-0.030464857316707634,0.01310997832628873,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,False
full_inflows,log_in_strength,visa_openness_index,0.00040203903487548323,0.0010938335764640898,0.3675504606241003,0.713264014344026,-0.001743690434786713,0.0025477685045376796,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,False
full_inflows,log_in_strength,climate_vulnerability,-4.522539180054379,0.6720087438057285,-6.729881451307132,2.4690105731985643e-11,-5.840791788568964,-3.204286571539793,1408.0,0.6094765278901163,0.6075239105295669,4659.201191019853,4701.200595313597,True
baseline_outflows,log_out_strength,const,-1.374302033077702,0.2873836183126122,-4.7821168135713075,1.8850534032290394e-06,-1.9379667848493338,-0.8106372813060702,1696.0,0.7500440970513461,0.7496009128262598,5463.883706716348,5485.6278179817555,True
baseline_outflows,log_out_strength,log_population,0.864869297122396,0.012933163064267467,66.87221778807613,0.0,0.8395026175912321,0.8902359766535599,1696.0,0.7500440970513461,0.7496009128262598,5463.883706716348,5485.6278179817555,True
baseline_outflows,log_out_strength,log_gdp_per_capita,-0.03863842432339949,0.018832878707366964,-2.0516472772845438,0.0403575871014908,-0.07557661155920053,-0.0017002370875984496,1696.0,0.7500440970513461,0.7496009128262598,5463.883706716348,5485.6278179817555,True
baseline_outflows,log_out_strength,conflict_intensity,1.3979246245579763e-05,8.704714929372559e-06,1.6059395809056547,0.10847378548476157,-3.0938945573533015e-06,3.105238704851283e-05,1696.0,0.7500440970513461,0.7496009128262598,5463.883706716348,5485.6278179817555,False
