iso3,year,climate_vulnerability
AFG,1990,0.6166
AFG,1995,0.612511069387945
AFG,1996,0.612679151659385
AFG,1997,0.612837469926352
AFG,1998,0.611178660337005
AFG,1999,0.609827722286114
AFG,2000,0.608398207191364
AFG,2001,0.606532877881195
AFG,2002,0.604601457431296
AFG,2003,0.59345123684489
AFG,2004,0.595817105304166
AFG,2005,0.602123845251527
AFG,2006,0.604628709316117
AFG,2007,0.600051012497378
AFG,2008,0.599393182526088
AFG,2009,0.599693542389519
AFG,2010,0.583799555533243
AFG,2011,0.59053916243912
AFG,2012,0.58448305398306
AFG,2013,0.589309821840208
AFG,2014,0.587004201260283
AFG,2015,0.583232874822956
AFG,2016,0.588403379297684
AFG,2017,0.593829094351135
AFG,2018,0.591230783539058
AFG,2019,0.587843436099682
AFG,2020,0.582315266487911
AFG,2021,0.586000121796016
AFG,2022,0.587795901704788
AFG,2023,0.58751617832868
AFG,2025,0.586
AGO,1990,0.4934
AGO,1995,0.493885446100005
AGO,1996,0.494234753112483
AGO,1997,0.494135738478465
AGO,1998,0.494036833354291
AGO,1999,0.494149498011857
AGO,2000,0.494392090171188
AGO,2001,0.496737319861053
AGO,2002,0.494950909991681
AGO,2003,0.494583822213485
AGO,2004,0.493046485385661
AGO,2005,0.495287853486178
AGO,2006,0.499371098629173
AGO,2007,0.495228265837184
AGO,2008,0.495870525901713
AGO,2009,0.500231291809643
AGO,2010,0.502047233171845
AGO,2011,0.501309754214576
AGO,2012,0.498359216812742
AGO,2013,0.500440486036288
AGO,2014,0.504594277555248
AGO,2015,0.506421666846786
AGO,2016,0.50785998069438
AGO,2017,0.509298158240381
AGO,2018,0.512001171013181
AGO,2019,0.511537037424656
AGO,2020,0.513684687498138
AGO,2021,0.510006678617796
AGO,2022,0.508756584744985
AGO,2023,0.506373424333808
AGO,2025,0.5041
ALB,1990,0.4467
ALB,1995,0.45182695756391
ALB,1996,0.452691007838491
ALB,1997,0.450500423807594
ALB,1998,0.451614305274946
