iso3,year,gdp_per_capita,population,unemployment,conflict_intensity,education_index,climate_vulnerability
ARM,2000,593.450581742282,3221100.0,11.107,0.0,10.49016104,0.386503471982725
ARM,2005,1557.48458908655,3146400.0,10.584,0.0,10.77075195,0.378909855376541
ARM,2010,3041.34450723339,3044800.0,19.523,0.0,11.12391663,0.360416761792963
ARM,2015,3512.39350276709,3004600.0,18.261,0.0,11.57221031,0.361692480349331
ARM,2020,4268.68093304583,2961500.0,18.175,0.0,11.33030033,0.370647590595447
ARM,2025,,,12.871,0.0,,
ASM,1990,,46640.0,,0.0,,
ASM,1995,,52316.0,,0.0,,
ASM,2000,,56855.0,,0.0,,
ASM,2005,8831.26975996609,56617.0,,0.0,,
ASM,2010,10375.1720141957,55228.0,,0.0,,
ASM,2015,12727.4102651386,52878.0,,0.0,,
ASM,2020,14489.2586563775,49761.0,,0.0,,
ATG,1990,7590.75442423046,63066.0,,0.0,,
ATG,1995,9034.47552907143,68189.0,,0.0,,0.487472229718716
ATG,2000,12027.4949768222,74912.0,,0.0,9.724649907,0.486678995517589
ATG,2005,14368.5708796058,79611.0,,0.0,9.952149767,0.484491895590046
ATG,2010,15217.3950790922,85320.0,,0.0,10.18497179,0.480369933520244
ATG,2015,16077.6340769406,89409.0,,0.0,10.42257676,0.476873195191819
ATG,2020,15369.6082250401,91846.0,,0.0,10.54622968,0.468417107456835
AUS,1990,18273.561526468,17065128.0,,0.0,11.22770758,
AUS,1995,20479.1748274233,18004882.0,8.473,0.0,11.33797971,0.326823263325125
AUS,2000,21908.9968019784,19028802.0,6.288,0.0,11.28785601,0.328628651535517
AUS,2005,34535.20727091,20176844.0,5.036,0.0,11.54751968,0.327109606521956
AUS,2010,52313.8939041213,22031750.0,5.214,0.0,12.03444004,0.326500154255844
AUS,2015,56970.3613028094,23815995.0,6.055,0.0,12.2456398,0.327117292417006
AUS,2020,51983.4523666382,25649248.0,6.394,0.0,12.72681999,0.313767368750102
AUS,2025,,,4.09,0.0,,
AUT,1990,21596.068219998,7677850.0,,0.0,10.20033055,
AUT,1995,30207.0674314652,7948278.0,4.345,0.0,10.65264307,0.306340542266892
AUT,2000,24487.2974685956,8011566.0,4.687,0.0,11.10574668,0.303916868932696
AUT,2005,38157.37022862,8227829.0,5.682,0.0,11.55885029,0.304438612882453
AUT,2010,46611.1393420232,8363404.0,4.883,0.0,11.71487999,0.302436123092934
AUT,2015,43915.228020857,8642699.0,5.802,0.0,12.07699013,0.300143776306643
AUT,2020,48716.4098900349,8916864.0,5.201,0.0,12.30571367,0.293809067480789
AUT,2025,,,5.582,0.0,,
AZE,1990,1238.27189274842,7175200.0,,0.0,,
AZE,1995,314.55801908334,7684850.0,7.2,1.0,9.921096274,0.443240197281227
AZE,2000,655.097249579917,8048600.0,11.78,0.0,10.24885607,0.440267290835968
AZE,2005,1578.36733030667,8391850.0,7.26,1.0,10.58433723,0.417584202165285
AZE,2010,5843.5337683582,9054332.0,5.63,0.0,10.46595001,0.412433420974441
AZE,2015,5500.50364628486,9649341.0,4.96,1.0,10.47585011,0.400886252186685
AZE,2020,4229.91064904503,10093121.0,7.24,2.0,10.55612992,0.402296116571452
AZE,2025,,,5.457,0.0,,
BDI,1990,202.629446176297,5587052.0,,0.0,1.460590005,
BDI,1995,164.915311679326,6066316.0,3.095,0.0,1.728964984,0.544364171418596
BDI,2000,134.537861752389,6470194.0,3.137,0.0,1.997339964,0.543544999615066
BDI,2005,147.234619294225,7587299.0,3.162,0.0,2.265714943,0.568921966879597
BDI,2010,216.727705301976,9376444.0,1.615,0.0,2.292983294,0.565616727549399
BDI,2015,254.402585226788,11047580.0,1.449,0.0,2.285303354,0.55572143240553
BDI,2020,255.8324539389,12617036.0,1.03,0.0,3.305215598,0.556977676883822
BDI,2025,,,0.922,0.0,,
BEL,1990,20600.3752789827,9967379.0,,0.0,9.406848637,
BEL,1995,28413.8264387368,10136811.0,9.337,0.0,10.10977799,0.357881934958883
BEL,2000,23098.8865077401,10251250.0,6.586,0.0,10.54394023,0.356108578912374
BEL,2005,36809.7013403619,10478617.0,8.44,0.0,11.02978846,0.350568617650558
BEL,2010,44197.393671162,10895586.0,8.293,0.0,11.41578007,0.353084644440966
BEL,2015,40893.804537772,11274196.0,8.482,0.0,11.89404011,0.343754896121476
BEL,2020,45906.2875805246,11538604.0,5.545,0.0,12.52857789,0.334969174860605
BEL,2025,,,5.906,0.0,,
BEN,1990,371.101604332357,5281479.0,,0.0,1.458545852,
BEN,1995,348.435238914394,6226773.0,1.305,0.0,1.868018019,0.576331673465284
BEN,2000,487.424141384242,7221619.0,0.864,0.0,2.289848018,0.574505398211559
BEN,2005,779.437777753268,8426144.0,0.859,0.0,2.496914005,0.577165667200976
BEN,2010,973.244254931526,9797484.0,1.04,0.0,2.560803986,0.586485281723795
BEN,2015,1002.41886879614,11360681.0,1.886,0.0,2.624693966,0.576537845770553
BEN,2020,1200.19426557789,13070169.0,1.518,0.0,3.137261725,0.574438585217661
BEN,2025,,,1.589,0.0,,
BFA,1990,338.593759055128,9159356.0,,0.0,,
BFA,1995,229.092294496817,10386722.0,2.532,0.0,,0.5837788788347
BFA,2000,248.908526921752,11925546.0,2.687,0.0,1.469865149,0.585047265561748
BFA,2005,441.164148016012,13932123.0,4.0,0.0,1.342989415,0.570111426138937
BFA,2010,624.957252224766,16176498.0,3.725,0.0,1.109530006,0.558253496184134
BFA,2015,630.124750752312,18777487.0,4.472,0.0,1.444627494,0.543528834021826
BFA,2020,825.237038782475,21478690.0,4.59,0.0,2.318685239,0.521637813046896
BFA,2025,,,3.477,0.0,,
BGD,1990,283.053737055234,111633717.0,,1.0,3.294752292,
BGD,1995,309.458680823367,122600370.0,2.441,1.0,3.816808113,0.576220664142081
BGD,2000,396.670730249751,134544304.0,3.27,0.0,4.280857732,0.565245405781607
BGD,2005,480.08585075452,144715786.0,4.25,0.0,4.717670155,0.560102618247176
BGD,2010,757.385280361508,152201981.0,3.379,2.0,5.118670177,0.554066162157698
BGD,2015,1224.38647668165,159383179.0,4.397,2.0,5.98582983,0.538382156514073
BGD,2020,2248.85078828233,166298024.0,5.539,1.0,7.379059792,0.528183627327675
BGD,2025,,,3.778,0.0,,
BGR,1990,2366.52982128614,8718289.0,,0.0,6.81489869,
BGR,1995,2259.25922555221,8406067.0,11.1,0.0,8.260943413,0.374491262941731
BGR,2000,1621.26210738992,8170172.0,16.218,0.0,9.740815481,0.372886201327781
BGR,2005,3899.82596332878,7658972.0,10.083,0.0,10.34050999,0.361750014883773
BGR,2010,6853.94805511171,7395599.0,10.279,0.0,10.72171974,0.358876562959294
BGR,2015,7268.65445473873,6984225.0,9.143,0.0,11.18832016,0.351953611637184
BGR,2020,10760.211975413,6550696.0,5.037,0.0,11.41318035,0.334282923649361
BGR,2025,,,3.536,0.0,,
BHR,1990,9342.53891401688,514797.0,,0.0,5.108272499,
BHR,1995,11900.9317778335,558879.0,1.044,0.0,6.566768074,0.44751143302962
BHR,2000,14214.4836839343,637582.0,1.081,0.0,8.040552998,0.443802945138914
BHR,2005,17966.1657837625,888822.0,1.021,0.0,8.200599035,0.436011807379983
BHR,2010,21819.3291098099,1228543.0,1.13,0.0,8.03221035,0.434397643486136
BHR,2015,23734.0551143019,1370322.0,1.164,0.0,9.107093493,0.438215796403492
BHR,2020,24342.8444554718,1472204.0,1.765,0.0,11.04658985,0.436644211159774
BHR,2025,,,1.102,0.0,,
BHS,1990,11473.3008389353,275945.0,,0.0,10.01280022,
BHS,1995,11374.6056703852,301461.0,10.83,0.0,10.52570534,0.463742577056541
BHS,2000,24940.0775086078,323835.0,7.118,0.0,11.03861046,0.464375805878004
BHS,2005,28602.4181869995,343894.0,10.2,0.0,11.45061016,0.461465172350944
BHS,2010,27473.100430502,367478.0,14.435,0.0,11.86260986,0.458686075248946
BHS,2015,30719.405417469,385346.0,12.0,0.0,12.28943371,0.455416869422402
BHS,2020,26178.7537607708,395863.0,12.016,0.0,12.73161494,0.458576558149906
BHS,2025,,,9.207,0.0,,
BIH,1990,1742.88262171767,4448652.0,,0.0,,
BIH,1995,502.365980975339,3715564.0,20.944,2.0,,0.39173880864935
BIH,2000,1338.48059636261,4159771.0,25.446,0.0,6.119783684,0.380892934886379
BIH,2005,2739.61076866057,4096493.0,30.218,0.0,6.152886182,0.36580743952613
BIH,2010,4506.47828548389,3811472.0,27.312,0.0,7.111209869,0.358086868777428
BIH,2015,4662.25869219448,3518541.0,27.695,0.0,9.291910172,0.350569221456248
BIH,2020,6130.31187968266,3299349.0,15.868,0.0,10.53631973,0.34429718398682
BIH,2025,,,11.037,0.0,,
BLR,1990,1706.64091882343,10189348.0,,0.0,,
BLR,1995,1370.69991385664,10193831.0,17.7,0.0,9.956694897,0.371770725689055
BLR,2000,1276.2880341,9979610.0,12.193,0.0,10.38081047,0.374932812960924
BLR,2005,3126.07176665248,9663915.0,8.759,0.0,10.82299168,0.360203099936418
BLR,2010,6034.67885177216,9483836.0,6.052,0.0,11.28559198,0.3538374515555
BLR,2015,5967.05595058777,9461076.0,5.881,0.0,11.76225224,0.355484324473633
BLR,2020,6542.85579976768,9379952.0,4.049,0.0,12.24122445,0.330223127056237
BLR,2025,,,3.38,0.0,,
BLZ,1990,2986.46962075029,183076.0,,0.0,5.451236009,
BLZ,1995,4009.82752539849,204146.0,12.48,0.0,6.306825706,0.49424188070785
BLZ,2000,4726.50675459616,240799.0,10.841,0.0,7.167532955,0.481078869918413
BLZ,2005,5270.41479135312,279731.0,10.91,0.0,8.028240204,0.474322444090025
BLZ,2010,5461.40735999001,320245.0,8.412,0.0,10.48622036,0.469604563879054
BLZ,2015,6154.62264230369,356333.0,7.578,0.0,8.923430443,0.457376178713085
BLZ,2020,5238.54078175696,390812.0,10.763,0.0,8.847599983,0.459953583453054
BLZ,2025,,,8.856,0.0,,
BMU,1990,27665.525808301,57559.0,,0.0,,
BMU,1995,34115.3445553204,59526.0,,0.0,,
BMU,2000,56542.9569455727,61550.0,,0.0,,
BMU,2005,77628.103522508,62711.0,,0.0,,
BMU,2010,104111.824244802,63725.0,,0.0,,
BMU,2015,104855.366822135,63464.0,,0.0,,
BMU,2020,106976.546239632,64382.0,,0.0,,
BOL,1990,682.67681029538,7130142.0,,0.0,5.993671061,
BOL,1995,852.754034861444,7874676.0,2.664,0.0,6.545290152,0.485828533967038
BOL,2000,975.777060358751,8606326.0,2.439,0.0,7.102773454,0.47993735209552
BOL,2005,1020.12326200737,9360754.0,2.598,0.0,6.966806126,0.478447654452833
BOL,2010,1929.78373077158,10182345.0,2.609,0.0,7.712310155,0.462553410007296
BOL,2015,2996.01289811344,11014705.0,3.111,0.0,8.929070473,0.459259432876688
BOL,2020,3580.96761778303,11816299.0,7.903,0.0,9.827750206,0.442833207679168
BOL,2025,,,2.967,0.0,,
BRA,1990,2619.80141064047,149143223.0,,0.0,3.685384501,
BRA,1995,4756.75013552302,161735073.0,7.092,0.0,4.41516361,0.40620858942962
BRA,2000,3766.54786339835,174018282.0,10.889,0.0,5.272654063,0.397110242761042
